citation_key,full_harvard_reference,doi_or_stable_url,database,year,peer_reviewed,study_type,dataset_and_period,raw_urls_available,feature_types,models,split_strategy,metrics,main_result,limitations,relevance_to_objective,verified_by_student,notes
Rao2020,"Rao, R.S., Vaishnavi, T. and Pais, A.R. (2020) 'CatchPhish: detection of phishing websites by inspecting URLs', Journal of Ambient Intelligence and Humanized Computing, 11(2), pp. 813-825.",https://doi.org/10.1007/s12652-019-01311-4,,2020,yes,journal,"Own and benchmark URL datasets",yes,hostname/full URL/TF-IDF,random forest,reported in paper,"URL-only classical comparator","Needs untouched external or time-separated evaluation",O1,,,,
Das2020,"Das, A., Baki, S., El Aassal, A., Verma, R.M. and Dunbar, A. (2020) 'SoK: A comprehensive reexamination of phishing research from the security perspective', IEEE Communications Surveys and Tutorials, 22(1), pp. 671-708.",https://doi.org/10.1109/COMST.2019.2957750,,2020,yes,journal,"Systematic review",not applicable,methods/datasets/reliability,review,review methodology,"Dataset quality base-rate and active-attacker critique","Review not classifier evidence",O1,,,,
ElAassal2020,"El Aassal, A., Baki, S., Das, A. and Verma, R.M. (2020) 'An in-depth benchmarking and evaluation of phishing detection research for security needs', IEEE Access, 8, pp. 22170-22192.",https://doi.org/10.1109/ACCESS.2020.2969780,,2020,yes,journal,"PhishBench and URL/web/email features",varies,83 URL/web and 143 email features,benchmarked ML,90:10 test with training tuning,"Core benchmark and prevalence sensitivity evidence","Many features require HTML WHOIS or network",O1,,,,
Xiao2020,"Xiao, X., Zhang, D., Hu, G., Jiang, Y. and Xia, S. (2020) 'CNN-MHSA: A convolutional neural network and multi-head self-attention combined approach for detecting phishing websites', Neural Networks, 125, pp. 303-312.",https://doi.org/10.1016/j.neunet.2020.02.013,,2020,yes,journal,"88,984 URLs collected July 2018",yes,raw URL characters,CNN/MHSA,one collection period,"Deep raw-URL comparator","One period is not temporal-drift evidence",O1,,,,
Wei2020,"Wei, W., Ke, Q., Nowak, J., Korytkowski, M., Scherer, R. and Wozniak, M. (2020) 'Accurate and fast URL phishing detector: A convolutional neural network approach', Computer Networks, 178, 107275.",https://doi.org/10.1016/j.comnet.2020.107275,,2020,yes,journal,"URL benchmark",yes,raw URL characters,CNN,reported in paper,"Deep comparator and latency discussion","Requires matched data provenance for comparison",O1,,,,
Gupta2021,"Gupta, B.B., Yadav, K., Razzak, I., Psannis, K.E., Castiglione, A. and Chang, X. (2021) 'A novel approach for phishing URLs detection using lexical based machine learning in a real-time environment', Computer Communications, 175, pp. 47-57.",https://doi.org/10.1016/j.comcom.2021.04.023,,2021,yes,journal,"ISCXURL-2016; 11,964 URLs",yes,nine lexical features,classical classifiers,reported in paper,"Lexical-only direct comparator","Historic benchmark needs current external test",O1,,,,
Alhogail2021,"Alhogail, A.A. and Alsabih, A. (2021) 'Applying machine learning and natural language processing to detect phishing email', Computers and Security, 110, 102414.",https://doi.org/10.1016/j.cose.2021.102414,,2021,yes,journal,"3,685 phishing and 4,894 benign emails",no,English email text,NLP/ML,three-fold CV,"Email-mode context","Excludes URL and attachment analysis",O1,,,,
Hernandes2021,"Hernandes, P.R.G., Floret, C.P., de Almeida, K.F.C., da Silva, V.C., Papa, J.P. and da Costa, K.A.P. (2021) 'Phishing detection using URL-based XAI techniques', in 2021 IEEE Symposium Series on Computational Intelligence. IEEE, pp. 1-6.",https://doi.org/10.1109/SSCI50451.2021.9659981,,2021,yes,conference,"URL classifier experiment",yes,URL features,LIME and Explainable Boosting Machine,reported in paper,"Phishing-specific explanation comparator","Explanation is not causal proof or generalisation",O5,,,,
Salloum2022,"Salloum, S.A., Gaber, T., Vadera, S. and Shaalan, K. (2022) 'A systematic literature review on phishing email detection using natural language processing techniques', IEEE Access, 10, pp. 65703-65727.",https://doi.org/10.1109/ACCESS.2022.3183083,,2022,yes,journal,"Systematic literature review",not applicable,email NLP,review,review methodology,"Email feature and dataset gap evidence","Review not performance evidence",O1,,,,
Sabir2022,"Sabir, B., Babar, M.A., Gaire, R. and Abuadbba, A. (2022) 'Reliability and robustness analysis of machine learning based phishing URL detectors', IEEE Transactions on Dependable and Secure Computing, pp. 1-18.",https://doi.org/10.1109/TDSC.2022.3218043,,2022,yes,journal,"Reproduced 50 phishing URL detectors",yes,adversarial URL perturbations,ML/deep models,robustness evaluation,"Robustness limitation of clean-test results","Must read full method before quoting exact aggregate results",O1,,,,
Bountakas2023,"Bountakas, P. and Xenakis, C. (2023) 'HELPHED: Hybrid ensemble learning phishing email detection', Journal of Network and Computer Applications, 210, 103545.",https://doi.org/10.1016/j.jnca.2022.103545,,2023,yes,journal,"32,051 benign and 3,460 phishing emails from multiple sources",no,content/Word2Vec/metadata,hybrid ensemble,reported in paper,"Email triage design comparator","Input artefacts must exist at inference",O1,,,,
Bozkir2023,"Bozkir, A.S., Dalgic, F.C. and Aydos, M. (2023) 'GramBeddings: A new neural network for URL based identification of phishing web pages through N-gram embeddings', Computers and Security, 124, 102964.",https://doi.org/10.1016/j.cose.2022.102964,,2023,yes,journal,"800,000 phishing and legitimate URLs",yes,n-gram URL embeddings,neural network,reported in paper,"Large contemporary raw-URL comparator","Scale does not remove need for domain/time test",O1,,,,
Zieni2023,"Zieni, R., Massari, L. and Calzarossa, M.C. (2023) 'Phishing or not phishing? A survey on the detection of phishing websites', IEEE Access, 11, pp. 18499-18519.",https://doi.org/10.1109/ACCESS.2023.3247135,,2023,yes,journal,"Survey of 127 selected studies",not applicable,list/similarity/ML methods,review,review methodology,"Dataset and method landscape","Search cutoff 2021",O1,,,,
Rashid2024,"Rashid, F., Doyle, B., Han, S.C. and Seneviratne, S. (2024) 'Phishing URL detection generalisation using unsupervised domain adaptation', Computer Networks, 245, 110398.",https://doi.org/10.1016/j.comnet.2024.110398,,2024,yes,journal,"ISCX-2016 EBBU-2017 and 2022 PhishStats",yes,URL features/domain adaptation,ML/domain adaptation,within and cross-dataset tests,"Core external-validity evidence","Read full protocol before reproducing percentages",O1,,,,
Kulkarni2025,"Kulkarni, A., Balachandran, V., Divakaran, D.M. and Das, T. (2025) 'From ML to LLM: Evaluating the robustness of phishing web page detection models against adversarial attacks', Digital Threats: Research and Practice, 6(2), Article 10.",https://doi.org/10.1145/3737295,,2025,yes,journal,"PhishOracle adversarial pages",not URL-only,web-page robustness,ML/LLM models,adversarial evaluation,"Contemporary robustness discussion","Web-page rather than URL-only evidence",O1,,,,
